"Private debt, loans and debt securities (Percent of GDP)",1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1.754136275,1.358220669,2.061323557,3.277953421,3.200949366,3.709710611,4.218952962,5.0883903,5.368455502,6.767429898,8.863489157,9.825492846,9.617866555,9.998929472,10.92401886,12.11082203,12.17556506,11.637748,10.6330549,11.18041146,11.89453201,15.26493589,15.78744035,16.68453727,17.11028155,17.26266127,17.94149862,19.91758659,21.59122632,21.44894255,23.00325229,24.23407607,25.71466153,26.43920677,28.02917568,29.77364961,33.49438921,34.67894297,35.10688045,34.03751035,35.72738209,36.32359891,37.15370449,39.52696868,39.29559859,38.37858125,38.44018807,38.2671638,38.17774602,36.91534262
Brazil,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,153.1443641,85.88851171,51.46446419,44.82435482,47.69837694,49.30538304,48.67074067,47.24879555,49.3003262,52.81356378,48.37710738,45.04425999,46.48237525,50.00290523,47.71663622,55.51750384,57.91636401,58.93654588,62.28654171,66.66591897,70.69591807,74.3641625,81.83140929,74.35761446,72.43577878,74.42777066,76.98903971,86.44194955,84.87223126,86.05300408,86.14817165
"China, People's Republic of",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,61.66831313,70.78967192,71.83797173,68.22019071,71.53355517,79.82101237,81.59572353,80.09783383,82.27624205,75.90533784,75.24582386,77.9377345,85.20392623,91.69891319,105.6527271,105.9416723,98.42328059,102.3660888,122.2850438,116.0519944,108.5316763,108.759953,105.7589071,105.8276947,127.7556607,138.4228283,136.6459014,146.6867902,155.1276736,167.5883426,179.9263542,187.1290229,187.9477649,185.5352763,186.3720197,198.6909437,192.8082861,198.5289976,205.0831492
Dominica,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,28.11954425,27.004688,20.87730205,22.21435629,24.74420709,25.32397699,27.29081149,27.92186973,29.68212736,27.59122854,27.59368214,23.60898708,22.82477851,27.86335624,34.30747878,38.82100756,39.50868334,41.77339197,43.68114318,43.77637153,46.49601233,45.42519364,47.22647477,47.09556481,46.86288898,50.43349038,47.85544928,48.1688522,45.37732157,45.4548022,48.58622168,50.41486211,49.12048257,48.95646196,48.91652083,53.10260776,55.61499738,59.1161341,57.62100491,53.67474167,51.30624182,46.94585492,51.00952286,47.17053436,40.40838204,53.24354699,50.06003122,47.04989233,42.11272072
"Gambia, The",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,7.346525726,8.051344077,7.163583092,7.667222287,7.761587134,7.117280562,7.470566309,6.59536639,4.612764227,6.413306461,6.144964744,4.448624154,5.86859075,6.356879367,8.792555581,8.067013857,9.444483939,9.141777518,8.218845313,9.468503262,10.67333012,11.32310893,7.388964127,5.165984049,5.315470671,4.964800819,4.675286217,4.526106445,3.054954724,4.52080219,4.625185206,3.945823658,3.677808407,4.241213968,4.558437144,5.009289628,5.05147923,5.552742543,6.793878431,6.689011291,4.932414142,5.74681387,7.108884361,7.427841144,8.593173592,9.048434442,9.382823759,10.25152679,9.866167429,9.777416796,8.575090523,no data,no data,5.4431293,6.448327947,7.656809961,7.584932474,8.362685318,9.065509668,8.462140156
Greece,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,25.57509547,24.88991486,27.64824021,29.30226552,29.32889854,27.81973197,28.52491804,31.23407106,32.34198331,34.01108058,36.79329515,40.44691031,43.42314214,39.26195334,41.45211881,42.90380822,43.34105158,46.36615148,46.79109961,44.70538866,45.0223635,48.55954507,48.37037245,48.58838451,47.60405912,46.5127078,44.29486155,43.62124145,40.78444219,41.80647213,39.22800068,36.62268341,36.41098128,34.70720576,35.29369252,35.94423598,36.48509365,38.41614057,41.70758071,45.10769594,54.05979442,61.15426515,64.96236407,69.09313272,74.24897711,86.40133144,93.34182802,102.1725472,113.8057543,117.2024913,129.6683979,133.1844953,135.2771995,133.4651587,132.7732515,129.4791769,127.5876218,121.0892498,119.7592752,111.0525701,126.3685819,122.9066162,101.5833867,96.82818087
Grenada,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,95.59622486,92.48603815,87.30887925,74.50675696,53.35859675,41.95377556,30.44082788,29.95154839,27.57837749,25.13369397,24.15790001,24.05239224,23.26561946,21.40304044,20.68127449,24.21666262,30.02250785,32.51149811,33.33030384,37.82177395,36.05737345,35.40693307,37.61747251,49.4496049,47.23182957,47.33198394,49.99333777,55.52417108,56.8696945,59.00194402,62.55811469,63.08048676,61.43223365,58.46473445,61.61799434,57.966498,64.87672874,68.79338036,70.076901,79.37726897,83.97993986,84.87602087,82.80481368,74.25666023,65.20633553,57.32142857,53.72278409,51.06690575,50.64570309,49.54706523,59.32010748,57.22524339,53.29114472,51.4327013
Guinea-Bissau,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.266544572,0.21444916,0.209178361,0.408509083,0.601524382,0.312950745,0.368202604,0.490034685,0.737911999,0.721272013,1.138148061,0.383077012,no data,0.636901086,0.844163681,1.224092448,1.911004001,2.963487354,4.859768361,4.112294359,6.057211071,8.16107664,11.72113345,11.4153926,12.90109963,7.33429242,6.577189815,11.2808236,13.38101427,13.80057841,14.7485053,14.29679669,15.35795001,14.04233936
Haiti,no data,no data,no data,no data,no data,0.230094851,0.361172185,0.504777896,0.584694382,0.627520807,0.742491227,0.811783924,0.770070975,0.862771593,0.885921804,1.272286709,1.292396396,1.600199398,1.380582559,1.540949714,1.776735885,1.62434929,2.038838544,3.005492041,4.124849011,4.488884861,4.820284353,5.362562988,6.334555869,6.384937288,5.994645182,6.226441654,6.080096807,5.718292006,5.460355806,4.98214893,4.486816258,8.683757826,17.25387922,22.43829492,21.11455966,20.25645758,23.39910158,18.53732709,7.215165798,7.226999905,7.246246084,8.928397333,7.988016864,8.137524194,8.749630543,8.036659981,9.730476415,9.792864586,7.931676795,8.272906115,7.995419494,7.270853163,8.088128434,7.749323253,7.268342344,8.026720725,10.31472354,10.27611,10.86010049,10.22691753,9.996235587,9.406423457,10.71774888,10.09113722,8.159546999,8.010298922,8.000480832,4.964750785
Honduras,2.977205869,2.519577108,3.161189689,3.468299813,3.972414347,4.38533843,4.665297177,5.258223621,4.85132651,5.087042111,5.319026078,5.439675862,5.478727075,5.752948333,6.179577333,7.117166245,8.369840662,9.77946472,10.24145127,12.35177512,13.14035222,13.34819472,13.58481848,15.14125943,15.41910644,17.59811948,18.26253667,18.8868458,19.02875363,18.82518032,18.26773058,19.29236391,20.39115034,21.55319277,21.55525033,22.58266102,22.70893652,23.95465812,22.63518966,21.42036313,18.75937881,16.94582632,19.22241626,18.66014444,19.17668816,17.68995411,19.83021748,25.74912129,30.27565632,33.92657571,33.4896624,35.62570485,34.94822084,35.47026297,36.44958678,37.52969351,43.36302811,50.88104757,49.87298999,48.8383752,46.4691374,46.71965455,50.75875965,54.22628239,54.58518878,54.1482612,56.71245796,56.73040907,61.29689845,62.95200783,68.97469213,65.49400207,68.37391324,73.83269106
Hong Kong SAR,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,99.7551934,100.3212352,109.0112798,126.2863167,143.9524502,146.5316961,130.1325995,128.7735459,131.4776336,132.4864288,137.7939697,156.1190848,166.3178464,150.9864419,142.7209281,145.491231,146.3101533,157.4786015,165.0120902,175.1746253,174.4755266,166.0641271,162.8773362,161.8805549,161.0092959,168.721517,169.7600287,173.7213774,176.0643549,186.9577333,191.8357845,194.2666695,224.5621877,237.1329022,238.5900457,264.1259315,283.7848589,297.4931201,306.4822986,343.3512645,335.3063328,349.4545912,384.0411796,368.8072726,374.0521207,363.3883944
Hungary,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,41.54430993,39.24309758,43.63488533,43.43746846,44.03969721,49.36981845,50.40410225,54.6687677,57.57904071,62.83781585,65.15438094,66.3006699,66.28928478,67.59874831,69.66750127,70.52027631,71.74247624,74.47629963,75.27038742,70.76653189,66.86658248,65.42017756,56.14198291,48.72768851,46.96951844,49.25082982,44.94382234,48.02330874,49.55634463,49.17895254,53.36496199,60.3377336,62.12210368,61.48681712,71.78061738,77.11165929,87.73378548,93.23510619,108.2750736,117.036079,128.4187122,125.4638505,125.7150573,115.2760781,107.8543774,104.6517623,94.66483445,89.71939587,83.59402962,82.1520461,82.29220563,91.90225081,101.6937259,102.5045144,91.70396273
Israel,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,74.35674802,81.37453384,85.41502071,87.98143779,90.31279667,94.68119169,102.1589312,106.5124625,106.6544142,115.2022124,119.8104851,116.2326877,115.9083673,121.0216496,121.2405299,125.9758984,120.0925949,121.0518539,120.6915329,118.048574,115.6371017,111.72128,109.7803771,108.8570346,109.9018149,109.3816676,109.6191421,108.9331245,112.4425175,114.1181121,112.7613237,110.6054139
Italy,23.33490401,24.2838133,28.52582506,30.99945942,34.28488584,36.43321473,39.15108837,40.68879295,41.95498977,45.33815567,47.38344301,51.15684493,55.62728134,59.17888763,58.70687908,60.14191568,62.58338713,64.80454856,66.93365889,68.78237804,68.59154892,72.40947112,75.74420911,72.9868397,68.55026085,69.67043409,63.17564573,59.55831745,53.97963888,51.4127662,49.34034904,48.9219073,46.94124011,45.60793276,48.91075103,48.97175693,48.95732365,49.84649481,51.96581049,55.1356403,58.77532625,60.87397733,64.28262763,64.70261567,61.79557674,69.97104963,68.2034096,67.7659705,68.1056533,75.48364039,79.40740096,82.78217703,85.27014837,89.41208609,93.31166225,99.0835786,105.2532837,112.9638769,116.4749444,124.9935331,125.6213232,124.7199557,126.8822963,124.9462099,123.1110122,118.9053103,115.0109064,112.2555487,110.4021642,109.3534129,122.196853,114.9089374,108.2401268,100.9269316
Japan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,109.7508027,116.8430767,117.4509033,118.163367,115.9180407,117.6375012,117.7670861,130.7790185,139.4300886,137.7652014,131.6580282,136.3275849,137.426631,136.0072236,135.0909451,137.3936736,139.8920633,143.3695731,149.1502979,155.680598,159.3792662,161.9966551,168.2729216,183.5616336,190.0049405,200.9223204,207.5258999,206.1943296,208.5791988,213.5482454,214.2108432,212.4835127,208.5345488,206.2989966,199.2818977,196.4657709,187.6200791,182.8709617,179.0844318,171.1104117,163.9731062,162.5276142,161.1122406,158.76986,163.8239124,170.3215188,162.7725997,163.0558308,161.0502911,159.5667864,157.8076105,153.8360515,155.4614867,156.0539386,159.4063454,164.3289995,183.2491057,183.6203075,185.528863,180.3068677
Jordan,no data,no data,no data,no data,12.61560982,17.7718415,14.27252206,17.24757411,15.26749437,17.5780438,18.67820046,19.83514998,20.29711143,25.16059427,22.53379091,21.71817214,23.40333139,19.88869769,20.24123805,19.89630661,20.98667898,20.27047453,19.39543591,22.84426023,27.3090643,31.18089799,35.36453439,32.19024913,42.18598593,50.18549757,51.6346666,52.87493778,56.73168311,61.73887308,65.91495445,67.25147612,64.0133058,65.55569434,69.07718656,71.65277815,69.02145865,69.11400227,61.27237652,66.62579999,70.49453765,75.53178388,75.93138567,76.13545282,73.80968848,75.74058286,75.75935247,78.83766613,74.15396285,72.14356782,75.53831941,88.46816772,91.44243125,92.63708091,82.83783599,84.0594792,80.76797301,80.37629728,79.10554999,80.0749791,76.79399727,75.83968024,83.22071343,77.5,78.5,78.4,83,84,88.1,82.6
Kenya,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,6.427605718,6.154126401,6.778365096,7.208961201,6.914974613,6.40802848,7.630093167,6.782888103,6.853123707,8.165476353,9.423174959,8.572632496,9.373637375,9.458640429,8.572741827,8.737389916,9.255420294,11.44606335,11.32535258,11.78335175,11.3658724,10.77766306,10.24375898,10.04492939,10.18482366,10.10725494,9.680961477,10.05566644,10.20262342,9.881906982,10.62343315,12.07335591,10.15236836,11.30026529,14.58025445,14.34675971,16.16882699,16.26783593,18.3217213,17.8763351,17.41343581,17.75734789,17.02068454,18.79515513,18.34234819,19.61613391,19.83784669,21.77489257,21.54829134,23.53105708,26.60311044,25.79013272,27.78274594,33.78289882,36.02218956,34.7370994,32.39339927,30.64212839,30.17358724,31.37817325,30.33498234,30.39620708,30.791225
"Korea, Republic of",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,25.82629235,23.27867047,19.15183981,23.13717694,25.66780063,35.51873869,43.4212055,52.74711086,53.16537824,56.53166582,55.96230127,57.22887674,59.27362188,52.58750137,49.74781269,50.37262255,54.45713255,60.39912607,74.93958668,80.53686579,90.32290749,92.36901005,96.18655724,102.9176084,100.9888834,96.70329566,92.10647944,104.4070746,111.8191735,117.7475071,121.7934721,126.3045044,130.4316397,131.6941448,140.5197103,154.7464867,153.7465337,139.6386441,133.3803013,134.6894139,141.0487587,138.0297877,129.6925026,131.6909219,142.2066594,147.9032977,161.5207874,166.6088746,161.7547139,165.703111,167.8142928,168.35706,171.3435181,172.2692294,172.5710348,172.6398498,177.2069113,185.0776855,200.6311834,205.6005613,209.869409,207.4091032
Kyrgyz Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,12.53916049,8.659318869,3.413055593,5.27699275,5.022240686,4.098745523,3.762690622,4.110888042,4.724510757,7.030383262,7.875606348,10.47709088,6.073687747,13.54153263,12.56521373,12.06338452,11.1205562,13.1203983,15.39837226,19.77915491,22.37740259,20.19410351,21.01272074,23.00257199,22.85251368,26.16799918,23.71371344,20.39500677,21.29634132
Luxembourg,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,112.7502005,114.1618243,164.7559446,133.20733,134.5600279,129.5478572,171.0601803,181.3434835,237.0125785,217.3902247,207.9786004,214.9020778,334.4517678,317.7537391,363.1535414,330.9411901,346.6972299,359.6009139,363.3367553,381.9946593,388.4434594,376.4848839,371.7989713,381.4677684,393.9389571,408.7591806,414.3887298,385.4665808,385.2983935
Malawi,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2.271967441,2.243819477,2.499749203,2.859198432,3.349092965,3.714743971,3.988362472,3.896450001,3.376796701,4.08176218,3.797522363,4.676434843,4.939077982,6.26002939,8.40677506,7.498897706,7.088832445,7.202101246,7.259119583,5.477912506,4.477914926,4.404000008,3.273028571,3.122726601,3.736864079,4.486921566,4.362924393,5.586158749,3.436415744,4.602879937,2.402114402,1.65010273,1.499451386,2.619394709,1.94443576,2.295148665,2.139645872,1.950914856,2.227989804,2.612730423,2.871235799,3.623928886,3.890770076,6.47263007,7.723565068,9.822172813,9.895160322,10.35103885,8.844489848,8.099173758,8.667008829,7.354107946,7.293126989,6.671717052,7.094879238,7.627617206,7.986283,8.383365202,7.968612343
Malaysia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,12.16906301,13.89650062,14.36906905,14.43897559,16.11345352,19.05887687,21.76610396,23.23305036,24.26754924,29.66446556,28.94187077,32.46869231,35.74246224,38.30650029,44.30011545,47.74494601,57.72828788,66.84618236,72.3554568,81.60328163,85.8179059,105.1366177,119.1040465,107.6624451,105.1167746,111.9732156,122.2673559,129.2597576,129.2495369,128.2905787,132.2408658,151.986166,173.9686916,198.2262132,196.8154559,179.0064474,159.7189877,168.08253,164.9907635,156.7572545,150.5365077,149.3500723,142.2636378,136.1313513,133.1916477,152.2253873,148.3453446,150.7585827,153.5261698,159.1553454,157.2532437,165.6881696,166.2316546,161.8849968,163.9949992,164.1586977,181.6950419,174.6444442,154.2460466,159.1643334
Maldives,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.791205165,6.034788177,4.201718262,4.095328274,3.454541359,9.160294197,15.54756072,18.82675059,23.30604259,19.18507433,15.97406985,13.03718238,10.07945249,10.6617891,11.47489259,9.130252735,7.873032114,10.41554892,11.35713739,11.84303504,11.46167314,12.86869694,15.22383376,14.50738023,14.78781533,18.44349067,19.66739881,16.54894376,22.45114983,37.80756158,41.49905694,52.15391686,55.55945743,51.44050308,45.69285612,39.5782247,32.59086412,28.79447599,26.3720644,26.44655835,27.34337411,27.82778426,27.58627284,28.01448746,47.33950954,34.65932851,30.77532921,31.50147281
Mali,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,3.329210028,3.659576755,4.819851078,1.542678595,1.527185049,1.479739844,0.514930246,0.546877267,7.245949785,9.583367201,8.878554564,9.065278894,11.15401491,10.41675342,15.04732564,21.48402315,23.65238539,16.69956396,19.34448537,18.83160242,19.12539428,19.39334688,19.71695579,18.82530737,11.36152695,12.9991259,14.51401398,13.74536503,10.1863502,10.93818252,9.595425139,9.347888994,10.32367226,9.87157259,6.057980932,7.901736442,9.876782417,10.55384198,12.82038273,13.542758,13.49768263,13.48324717,14.64622514,14.85712426,16.86609297,14.6818997,15.32156318,16.10946266,11.77818226,16.27808644,17.86766515,18.25997868,19.41135576,20.78244141,21.95325043,24.88256107,26.31227965,25.85396224,25.53212791,24.41026028,25.67260298,27.54308401,30.45689727,28.42665841
Moldova,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,5.817327237,5.828260531,4.979409431,3.674130036,6.663622931,7.673323621,6.890569269,13.81564055,11.74351389,12.33864071,14.65807131,17.08665217,20.22617613,21.13862743,23.36430349,27.22968354,36.62604224,36.2105518,35.67775655,27.674478,27.65064122,31.7801107,33.39942409,28.30874129,26.3501226,21.95629379,19.53448152,19.14174377,19.90230395,23.03361268,23.16605088,22.00277037,20.76681689
Mozambique,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2.203732607,3.829448648,2.797873217,10.32330043,11.74285645,8.399557984,8.317917827,8.297431766,7.301279855,8.781830705,9.476747158,10.28902396,11.75264772,8.74837075,8.818967295,7.767491257,6.592418515,8.579516506,9.590824392,9.82833324,13.69986584,19.2826716,21.19963178,20.41730821,21.90573389,25.7762412,29.65148025,31.37846323,30.62283392,23.73118528,21.18363977,20.33235008,22.80917867,21.84177526,19.4660857,17.41231714
Nepal,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.887966807,0.880822677,0.934605706,0.858271365,1.027963929,1.330152501,1.18383554,1.295187345,1.666770102,1.813660553,2.028497567,2.897246634,2.781943236,3.229881443,3.339284767,3.612879767,3.087511887,3.596038976,4.302253366,4.812408711,6.445516942,6.905215766,6.760145859,5.904004399,6.039236129,6.77112083,7.457400547,7.383280496,8.416950488,9.326175427,9.073142373,9.424972902,9.523679535,10.37735017,13.3122713,16.42923808,16.61583156,16.99861427,20.52557282,20.69779669,22.03067872,22.71559478,19.71676338,22.61444251,23.26444079,24.72490959,28.57774046,32.22140458,44.84468141,51.48132475,47.48153988,45.96092143,48.30907409,50.10692152,54.13192224,56.59151782,69.53267638,68.88714954,75.94562223,78.61090713,88.10863687,103.2653573,94.08601657,91.3722179
Netherlands,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,47.48383647,51.88553294,55.74702864,56.41685823,58.19749792,60.05414367,64.91173089,69.12677492,63.95398055,66.01761537,66.19520765,69.67340682,77.40627489,82.00782861,83.0710365,88.23398488,98.56143185,111.4927036,121.3995102,125.217073,126.7249985,126.2208964,128.1747213,128.7521295,128.376681,134.7696547,141.2100864,151.9550714,155.5353092,162.8988064,165.5057883,171.8443974,174.6207112,179.7657777,179.8561958,187.1329279,192.2125737,202.6952758,214.0080877,219.7332543,216.7003837,216.5398359,231.3301003,231.3409447,235.6375266,231.3614574,230.5551764,233.1990376,248.8615031,262.2449932,272.9723344,278.0835632,278.1569699,284.0561899,281.0522401,279.7732496,269.4743767,259.3841018,244.6606095,246.6678833,234.1533285,216.7664165,198.8685827
Nicaragua,57.58603841,56.82488799,60.88820249,76.13559835,102.0482074,103.9530538,113.4966331,96.60107581,98.73045476,80.48955781,83.19619119,80.57209067,80.61873229,79.67679117,69.47251431,63.62702362,60.23988174,50.42661519,42.86516548,33.7184026,27.92376622,22.90420936,18.78600222,18.84946685,19.44525697,18.16046802,18.74783448,18.49107642,20.93471802,36.96743149,37.21942894,40.48342801,42.55478018,21.57769948,13.52497714,12.4726337,12.51266173,10.12597192,11.96697513,5.111295115,11.00066861,7.12140727,10.45276148,13.05182788,15.6987873,16.54706259,12.86624446,16.17155654,19.80707677,23.1411149,23.51534664,13.67067045,15.08254687,17.63139292,19.57872588,22.5502809,26.38782611,30.12194869,28.14050235,25.38080418,24.26500796,23.94891192,26.74205325,29.36941104,31.17096795,34.14489092,36.6938817,39.08374145,35.96785563,29.83403559,27.73761841,25.54294924,26.11781498,26.67097837
